time,base_time,time_offset,pres,qc_pres,tdry,qc_tdry,dp,qc_dp,wspd,qc_wspd,deg,qc_deg,rh,qc_rh,u_wind,qc_u_wind,v_wind,qc_v_wind,wstat,asc,qc_asc,lat,lon,alt
2022-08-20 23:32:00,2022-08-20,2022-08-20 23:32:00,1014.7,0,29.5,0,25.7,0,4.6,0,145.0,0,80.0,0,-2.6384516,0,3.7680993,0,,0.0,0,29.67,-95.06,7.4
2022-08-20 23:32:01,2022-08-20,2022-08-20 23:32:01,1014.05,0,29.57,0,24.86,0,3.3,0,145.0,0,75.75,0,-1.8928022,0,2.7032018,0,,4.0,0,29.670029,-95.06002,13.2
2022-08-20 23:32:02,2022-08-20,2022-08-20 23:32:02,1013.26,0,29.65,0,24.8,0,3.4,0,145.0,0,75.12,0,-1.95016,0,2.785117,0,,7.0,0,29.670053,-95.06004,20.1
2022-08-20 23:32:03,2022-08-20,2022-08-20 23:32:03,1012.74,0,29.64,0,24.76,0,3.6,0,146.0,0,75.02,0,-2.0130947,0,2.984535,0,,4.6,0,29.67008,-95.06007,24.7
2022-08-20 23:32:04,2022-08-20,2022-08-20 23:32:04,1012.06,0,29.59,0,24.72,0,3.8,0,146.0,0,75.03,0,-2.1249335,0,3.1503425,0,,6.1,0,29.670107,-95.06009,30.8
2022-08-20 23:32:05,2022-08-20,2022-08-20 23:32:05,1011.53,0,29.54,0,24.67,0,4.1,0,146.0,0,75.04,0,-2.2926912,0,3.3990536,0,,4.6,0,29.670135,-95.06011,35.4
2022-08-20 23:32:06,2022-08-20,2022-08-20 23:32:06,1010.75,0,29.48,0,24.63,0,4.4,0,146.0,0,75.14,0,-2.4604492,0,3.6477652,0,,7.0,0,29.670168,-95.060135,42.4
2022-08-20 23:32:07,2022-08-20,2022-08-20 23:32:07,1010.1,0,29.43,0,24.59,0,4.6,0,146.0,0,75.18,0,-2.5722878,0,3.8135724,0,,5.8,0,29.670202,-95.06016,48.1
2022-08-20 23:32:08,2022-08-20,2022-08-20 23:32:08,1009.44,0,29.4,0,24.57,0,4.8,0,146.0,0,75.23,0,-2.6841266,0,3.9793801,0,,5.8,0,29.670237,-95.06019,53.9
2022-08-20 23:32:09,2022-08-20,2022-08-20 23:32:09,1008.8,0,29.36,0,24.54,0,5.0,0,147.0,0,75.26,0,-2.723195,0,4.1933527,0,,5.7,0,29.670273,-95.06022,59.7
2022-08-20 23:32:10,2022-08-20,2022-08-20 23:32:10,1008.16,0,29.31,0,24.5,0,5.3,0,147.0,0,75.3,0,-2.886587,0,4.4449544,0,,5.7,0,29.670311,-95.06025,65.3
2022-08-20 23:32:11,2022-08-20,2022-08-20 23:32:11,1007.53,0,29.27,0,24.5,0,5.4,0,147.0,0,75.45,0,-2.9410508,0,4.528821,0,,5.6,0,29.670351,-95.06028,70.9
2022-08-20 23:32:12,2022-08-20,2022-08-20 23:32:12,1006.91,0,29.23,0,24.48,0,5.6,0,147.0,0,75.58,0,-3.0499785,0,4.696555,0,,5.5,0,29.670393,-95.06031,76.4
2022-08-20 23:32:13,2022-08-20,2022-08-20 23:32:13,1006.3,0,29.18,0,24.45,0,5.8,0,147.0,0,75.63,0,-3.1589065,0,4.8642893,0,,5.5,0,29.670437,-95.06034,81.9
2022-08-20 23:32:14,2022-08-20,2022-08-20 23:32:14,1005.69,0,29.13,0,24.41,0,5.9,0,147.0,0,75.67,0,-3.2133703,0,4.9481564,0,,5.4,0,29.67048,-95.06037,87.3
2022-08-20 23:32:15,2022-08-20,2022-08-20 23:32:15,1005.08,0,29.07,0,24.37,0,6.1,0,147.0,0,75.72,0,-3.322298,0,5.1158905,0,,5.4,0,29.670527,-95.0604,92.8
2022-08-20 23:32:16,2022-08-20,2022-08-20 23:32:16,1004.46,0,29.03,0,24.36,0,6.2,0,147.0,0,75.88,0,-3.376762,0,5.1997576,0,,5.5,0,29.670572,-95.06044,98.2
2022-08-20 23:32:17,2022-08-20,2022-08-20 23:32:17,1003.85,0,28.98,0,24.39,0,6.3,0,147.0,0,76.22,0,-3.431226,0,5.2836246,0,,5.5,0,29.67062,-95.06048,103.7
2022-08-20 23:32:18,2022-08-20,2022-08-20 23:32:18,1003.24,0,28.93,0,24.4,0,6.4,0,148.0,0,76.51,0,-3.3914838,0,5.4275074,0,,5.5,0,29.670668,-95.06052,109.2
2022-08-20 23:32:19,2022-08-20,2022-08-20 23:32:19,1002.62,0,28.87,0,24.38,0,6.5,0,148.0,0,76.66,0,-3.4444757,0,5.5123124,0,,5.5,0,29.670717,-95.060555,114.6
2022-08-20 23:32:20,2022-08-20,2022-08-20 23:32:20,1002.01,0,28.82,0,24.36,0,6.6,0,148.0,0,76.8,0,-3.4974675,0,5.597117,0,,5.5,0,29.670767,-95.06059,120.1
2022-08-20 23:32:21,2022-08-20,2022-08-20 23:32:21,1001.39,0,28.77,0,24.34,0,6.7,0,148.0,0,76.95,0,-3.5504594,0,5.681922,0,,5.5,0,29.670818,-95.06063,125.6
2022-08-20 23:32:22,2022-08-20,2022-08-20 23:32:22,1000.77,0,28.72,0,24.36,0,6.8,0,148.0,0,77.27,0,-3.6034515,0,5.766727,0,,5.6,0,29.67087,-95.06067,131.2
2022-08-20 23:32:23,2022-08-20,2022-08-20 23:32:23,1000.14,0,28.66,0,24.4,0,6.8,0,149.0,0,77.74,0,-3.5022588,0,5.828738,0,,5.6,0,29.670921,-95.06071,136.8
2022-08-20 23:32:24,2022-08-20,2022-08-20 23:32:24,999.5,0,28.59,0,24.38,0,6.9,0,149.0,0,77.94,0,-3.5537624,0,5.9144545,0,,5.7,0,29.670975,-95.060745,142.5
2022-08-20 23:32:25,2022-08-20,2022-08-20 23:32:25,998.87,0,28.54,0,24.35,0,6.9,0,149.0,0,78.01,0,-3.5537624,0,5.9144545,0,,5.6,0,29.671028,-95.06078,148.1
2022-08-20 23:32:26,2022-08-20,2022-08-20 23:32:26,998.25,0,28.49,0,24.31,0,6.9,0,149.0,0,78.07,0,-3.5537624,0,5.9144545,0,,5.5,0,29.671082,-95.06082,153.7
2022-08-20 23:32:27,2022-08-20,2022-08-20 23:32:27,997.65,0,28.43,0,24.26,0,7.0,0,150.0,0,78.08,0,-3.5000002,0,6.0621777,0,,5.4,0,29.671135,-95.06086,159.1
2022-08-20 23:32:28,2022-08-20,2022-08-20 23:32:28,997.07,0,28.38,0,24.24,0,7.0,0,150.0,0,78.23,0,-3.5000002,0,6.0621777,0,,5.2,0,29.67119,-95.0609,164.3
2022-08-20 23:32:29,2022-08-20,2022-08-20 23:32:29,996.51,0,28.34,0,24.18,0,7.0,0,150.0,0,78.14,0,-3.5000002,0,6.0621777,0,,5.0,0,29.671246,-95.060936,169.3
2022-08-20 23:32:30,2022-08-20,2022-08-20 23:32:30,995.97,0,28.3,0,24.04,0,7.0,0,151.0,0,77.67,0,-3.3936667,0,6.1223383,0,,4.8,0,29.6713,-95.060974,174.1
2022-08-20 23:32:31,2022-08-20,2022-08-20 23:32:31,995.45,0,28.3,0,23.95,0,7.0,0,151.0,0,77.25,0,-3.3936667,0,6.1223383,0,,4.7,0,29.671356,-95.06101,178.8
2022-08-20 23:32:32,2022-08-20,2022-08-20 23:32:32,994.93,0,28.29,0,23.94,0,7.0,0,152.0,0,77.22,0,-3.286301,0,6.180633,0,,4.7,0,29.671412,-95.06105,183.5
2022-08-20 23:32:33,2022-08-20,2022-08-20 23:32:33,994.4,0,28.26,0,24.02,0,7.0,0,152.0,0,77.72,0,-3.286301,0,6.180633,0,,4.7,0,29.671467,-95.06108,188.2
2022-08-20 23:32:34,2022-08-20,2022-08-20 23:32:34,993.87,0,28.19,0,24.12,0,7.0,0,152.0,0,78.53,0,-3.286301,0,6.180633,0,,4.8,0,29.671522,-95.06111,192.9
2022-08-20 23:32:35,2022-08-20,2022-08-20 23:32:35,993.33,0,28.13,0,24.19,0,7.0,0,153.0,0,79.14,0,-3.1779342,0,6.2370453,0,,4.9,0,29.671577,-95.06114,197.8
2022-08-20 23:32:36,2022-08-20,2022-08-20 23:32:36,992.78,0,28.08,0,24.22,0,7.0,0,153.0,0,79.51,0,-3.1779342,0,6.2370453,0,,5.0,0,29.671633,-95.06117,202.7
2022-08-20 23:32:37,2022-08-20,2022-08-20 23:32:37,992.22,0,28.04,0,24.2,0,7.0,0,153.0,0,79.65,0,-3.1779342,0,6.2370453,0,,5.0,0,29.671688,-95.0612,207.8
2022-08-20 23:32:38,2022-08-20,2022-08-20 23:32:38,991.65,0,27.97,0,24.14,0,7.0,0,154.0,0,79.65,0,-3.0685978,0,6.2915583,0,,5.1,0,29.671745,-95.06123,212.9
